pid,dbscan_cluster_label
46887,0
111852,1
82535,1
43402,2
108590,3
13378,-1
57495,4
47594,5
131206,1
134447,6
7736,1
83498,7
94765,-1
47347,8
113521,1
9072,9
9646,10
144526,11
4650,1
100902,1
45134,12
36798,13
115523,1
82603,-1
59960,14
144338,1
150494,1
136822,15
132446,345
87273,16
150677,-1
112415,17
103319,18
16985,19
69925,1
133258,13
114204,20
89214,21
131055,1
124128,2
116134,22
70631,23
124901,24
122418,25
76112,26
150304,27
110407,28
68887,29
60002,30
80361,2
125337,31
122057,-1
113386,32
124998,33
84264,34
35174,1
35554,35
22945,241
136377,-1
22060,1
138897,1
139758,1
153523,-1
50601,1
139297,2
97754,36
76529,37
98965,1
65767,-1
83212,38
60552,1
87868,11
143997,39
126669,1
104890,1
102450,40
122495,41
84192,42
31023,1
103526,43
58277,44
103850,45
107132,1
65357,46
34130,47
120950,48
128985,1
16998,49
121702,50
97170,51
35384,1
73200,-1
11609,1
110825,1
27266,-1
137331,52
35899,35
42164,-1
62100,43
44386,53
71630,1
107926,1
79317,54
63748,55
112823,-1
6776,40
56789,56
112415,17
66105,57
113541,1
103373,1
102744,58
28923,41
32896,1
84192,59
12559,41
23194,-1
95292,1
83297,1
152407,37
91098,591
148612,60
139070,61
58397,62
81751,63
139661,64
120035,65
92042,66
54626,67
92055,1
76323,41
31085,331
130114,1
92971,68
125423,69
76684,70
137643,71
131753,18
63974,-1
81813,41
144350,72
13875,73
30422,2
38137,-1
82928,74
71066,1
43154,1
5764,79
94088,41
67816,75
26333,76
26674,1
131240,1
90263,30
15217,1
2724,77
105774,1
78945,1
117071,49
125241,1
22955,-1
62596,5
114473,78
53146,41
116675,17
145441,79
21295,13
73195,80
39038,81
28794,82
128376,1
14702,-1
15763,1
138229,83
10496,84
128518,1
39297,0
124361,41
44505,1
145878,85
42757,64
148902,86
148959,87
128442,88
98799,89
57087,90
23102,91
145876,92
15586,32
65089,2
50253,93
111574,18
61009,1
32746,78
47024,94
108308,346
124786,87
18580,73
95903,1
100090,85
6357,-1
92239,18
74338,-1
68665,0
105176,4
12994,65
142143,1
112705,1
124171,95
84277,532
112003,913
104291,1
132028,1
139407,96
141366,39
101841,-1
120586,1
124602,73
3827,97
19487,98
123695,99
114899,87
24720,1
110790,-1
121328,100
96008,101
108192,102
146894,103
104588,1
51195,104
128364,73
123065,0
101061,105
122675,-1
92987,202
32877,1
90812,106
103056,0
66401,24
151895,1
66031,19
137780,207
59458,107
109337,1
114578,1
151116,108
112934,109
135398,1
89969,56
7635,1
78392,1
150024,110
119196,111
97665,1
98528,41
125475,41
43684,1
50170,30
132994,1
7748,112
73559,109
24782,41
121032,-1
79888,1
47734,81
25245,1
52451,113
152842,114
121169,1
57157,115
12814,-1
117195,87
3827,116
62885,117
147722,1
68453,118
120207,119
41590,120
5484,121
103776,32
92722,41
123418,30
51669,1
25293,1
5187,1
48469,1
102806,41
93850,-1
150445,122
79633,41
89433,69
33690,123
50846,1
130010,67
101336,41
95232,124
78044,41
81056,41
11916,125
88776,144
89635,126
115301,127
101111,56
148039,1
93754,128
111875,122
102859,41
153230,41
118195,43
39430,2
142565,129
86431,130
70349,1
6001,-1
45669,1
124771,2
58397,62
4969,-1
124055,131
39787,41
143900,41
136073,98
72364,13
27076,2
101911,1
28875,-1
153458,132
30545,41
57222,133
103693,134
102323,41
101574,-1
54390,135
149125,136
83529,137
91399,138
92827,238
73859,498
108590,3
92780,1
76348,0
48402,39
141345,1
148189,-1
148050,1
114690,1
104655,139
77575,1
59181,-1
139223,136
30682,41
8775,-1
58397,62
116211,1
29583,126
102026,925
23249,41
115803,48
16652,13
22488,140
64088,141
14652,142
128299,704
40094,143
52192,144
134796,1
70367,48
53089,1
105246,1
26417,-1
39325,41
100454,177
116675,145
31594,146
95600,147
4217,1
135739,148
47084,105
15702,1
9454,235
77292,149
88802,-1
83498,150
97594,128
144526,11
99943,-1
122174,27
141549,151
68570,1
126364,1
33286,-1
112415,17
125666,152
138351,33
88576,2
141973,41
137724,141
66521,1
112709,-1
119377,74
79916,-1
2276,-1
102139,1
133780,43
13493,-1
78957,1
79273,105
80357,153
908,1
133517,33
105022,9
87024,41
12910,1
113191,154
66672,155
73926,156
141406,157
153490,1
37407,158
36124,159
42359,121
20454,1
42084,-1
32472,-1
68498,1
5302,121
95649,1
43434,160
72301,161
84287,152
84734,1
122424,41
31870,162
110967,1
128009,-1
124027,49
120950,163
135660,1
93905,164
106087,156
113709,69
39842,165
98799,166
115240,167
58417,122
11214,1
19500,1
143758,13
99419,1
76720,168
57004,1
112077,1
152842,114
42359,169
104618,-1
78899,1
16451,1
144399,1
86696,92
134206,2
261,-1
83908,0
43098,49
109659,92
132696,170
55468,1
51953,171
64153,1
31190,1
102422,73
22286,41
55697,11
79057,1
26275,118
116816,1
40426,88
12366,172
86326,164
58619,173
103601,1
153183,49
84654,46
130066,66
94697,1
97788,1
24865,87
42727,174
128380,654
89678,-1
30353,175
89127,176
108893,-1
151582,177
37209,178
70674,49
83636,179
89472,119
13550,1
104623,1
146995,1
91922,1
86360,1
137837,180
142174,1
112415,17
53598,-1
148504,181
135625,1
106552,-1
20464,182
45527,99
47564,1
116517,1
12024,2
99528,87
138153,148
83491,183
95493,41
140082,1
75105,184
7718,72
47945,118
48622,1
67106,41
81743,185
39965,101
116929,186
100105,187
148741,188
107929,-1
147870,2
143070,189
148482,1
101669,1
7979,190
39014,32
45281,46
69836,191
22585,1
136695,37
61074,1
136018,1
110590,1
116441,49
64550,168
83294,-1
86361,41
69181,87
112415,17
109006,1
113376,43
42447,192
85164,193
42610,49
143101,194
144178,1
115107,523
151514,2
58397,195
13921,196
104072,1
70905,119
104682,1
70061,-1
142345,1
12189,-1
53512,38
28021,1
26441,197
60839,58
145918,-1
38644,540
127428,198
123691,199
6124,113
22657,200
112415,17
33862,-1
73379,-1
71072,1
113066,1
13692,-1
101934,1
7661,-1
80039,201
112439,1
30607,98
115011,1
140629,-1
137567,202
133091,203
92672,128
105635,1
91664,1
111920,204
94806,1
27523,205
15500,1
13628,73
18897,206
100715,207
108681,1
144763,208
83644,1
42447,8
99659,1
129543,43
12179,209
91407,210
129082,-1
13783,30
57222,211
139536,212
108335,37
110478,-1
110561,213
108590,214
98625,1
127067,41
54291,1
116788,215
84600,30
120307,216
106424,41
148902,217
147934,156
145835,1
153005,43
88260,-1
152854,927
26804,19
73385,102
121086,198
49638,-1
61062,201
5502,218
74951,219
128789,118
132576,782
102883,159
124177,1
14524,49
115222,1
110361,69
57222,211
111520,220
13766,77
149727,-1
46406,41
93816,-1
55083,221
107898,1
33700,119
144006,-1
72300,222
11532,128
129936,-1
108748,145
105870,161
129763,223
110315,224
64934,225
36516,226
141155,30
74875,1
60311,227
104064,33
149213,-1
146403,228
129806,1
72685,1
13612,-1
22776,50
59586,1
152288,136
74249,2
147668,229
22477,230
6795,1
6644,128
138893,889
32374,41
108590,3
51983,-1
87855,-1
83874,231
27672,-1
55831,-1
110902,41
115301,127
66908,232
75108,233
96952,234
90814,73
42359,169
51604,58
90691,41
62715,0
152674,41
81978,800
11916,125
126896,127
113036,1
134082,235
78721,236
51049,-1
79368,1
133517,33
74784,1
104552,237
149093,238
101428,-1
17204,41
46833,0
96730,239
25228,240
62668,213
71537,8
116804,33
112415,17
109961,351
134026,-1
4926,43
17875,41
102303,1
64934,241
2659,49
92492,1
6620,242
73740,1
52032,41
76551,243
119852,-1
100959,191
84192,59
129788,34
151589,244
80486,-1
8375,245
65746,-1
105565,-1
70542,246
54504,84
103014,245
84371,1
97587,242
116265,1
123387,104
102683,1
142016,1
148973,1
130041,247
87692,248
83970,239
92535,1
84310,70
81751,249
62726,250
26750,1
144142,-1
106263,41
61353,725
65098,92
72675,58
110522,-1
30365,251
152288,252
73331,624
86478,30
66674,253
108338,254
30668,1
121086,37
127314,-1
37417,13
93386,1
143649,1
136731,-1
124390,117
85766,216
99152,198
83154,255
59818,80
123695,91
36755,256
100697,250
112415,145
27180,-1
6644,0
29608,1
23905,1
119505,2
116511,1
107509,33
135551,0
120829,257
109074,258
153300,259
47347,158
124319,260
106468,1
99365,1
113360,-1
65686,122
98759,-1
127301,259
21100,1
112979,181
8613,-1
18554,128
42359,169
111788,261
90904,41
100680,399
145056,-1
22665,1
115882,145
57068,262
153475,77
112021,1
29048,263
116929,186
142016,1
5793,30
63417,30
27320,20
59294,2
90149,-1
85800,-1
101061,43
97821,41
104154,264
58355,-1
82311,-1
102932,302
150100,41
29271,265
965,1
113629,41
63052,266
13074,43
91293,18
69892,267
72782,18
9892,49
32691,181
17862,142
116433,27
141406,157
115614,104
109704,69
14170,-1
61805,141
62835,26
104664,221
137078,-1
139217,91
116854,-1
113139,1
17890,251
29121,87
7457,30
107381,268
84192,59
102334,1
103723,41
133105,-1
135191,2
7390,842
22664,73
92177,269
109629,270
92971,271
80592,1
95696,87
32738,213
128206,272
56146,77
18634,273
86431,274
120950,48
91566,-1
98768,275
111093,276
57515,1
86621,30
129271,256
72411,-1
87376,-1
117113,-1
38423,242
76875,-1
139660,277
135217,65
98495,-1
151398,48
105470,1
128317,119
89127,1
90017,278
10294,1
137539,49
57728,1
101673,279
118833,229
42218,280
59068,172
131784,1
68501,1
51953,-1
35702,70
13783,181
105841,220
114793,1
39856,1
122678,281
54436,41
130034,-1
111782,32
102909,1
117293,1
120485,-1
13169,1
109134,-1
123918,13
60944,30
52621,523
101003,26
114063,1
151810,229
55299,282
143222,33
127420,1
115591,69
10099,1
136857,-1
75061,229
130121,-1
100201,1
55340,2
